origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2026-03-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3204.84,3737.56,5.382,2026-09-08 08:38:45+00:00
2026-03-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1483.77,1717.22,2.5,2026-09-08 08:38:45+00:00
2026-03-31 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1100.13,1616.17,1.899,2026-09-08 08:38:45+00:00
2026-04-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1271.55,1565.33,2.321,2026-09-08 08:38:45+00:00
2026-04-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,7462.78,8560.8,14.327,2026-09-08 08:38:45+00:00
2026-04-03 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1233.97,1425.84,2.583,2026-09-08 08:38:45+00:00
2026-04-04 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2226.68,2606.97,5.001,2026-09-08 08:38:45+00:00
2026-04-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,9283.66,10774.05,18.634,2026-09-08 08:38:45+00:00
2026-04-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2045.83,2292.43,3.743,2026-09-08 08:38:45+00:00
2026-04-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4499.21,5308.13,7.897,2026-09-08 08:38:45+00:00
2026-04-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1357.37,1613.64,2.485,2026-09-08 08:38:45+00:00
2026-04-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2830.58,3570.69,4.94,2026-09-08 08:38:45+00:00
2026-04-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3471.48,4272.91,7.01,2026-09-08 08:38:45+00:00
2026-04-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2155.8,2796.79,4.72,2026-09-08 08:38:45+00:00
2026-04-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,5467.81,6230.37,9.666,2026-09-08 08:38:45+00:00
2026-04-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2285.83,3186.49,3.94,2026-09-08 08:38:45+00:00
2026-04-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1475.12,1840.93,2.568,2026-09-08 08:38:45+00:00
2026-04-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1049.42,1236.91,2.013,2026-09-08 08:38:45+00:00
2026-04-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,715.82,918.81,1.324,2026-09-08 08:38:45+00:00
